AGREEMENT,QUOTENUMBER,REVISION,METERID,AGREE_START_DATE,PR_RELEASED_DATE,MAXPARSEDUIDRAW,RECENT_PARSED_FOR_PR,MAXEWORXFORECASTID,A.MAXEWORXFORECASTID||'.JSON',EW_ANNUAL_CONSUMPTION
1-GXF0NO,1-GPY4BN,5,NEPOOL_CLP_51063023048_084612009,05/01/2018,03/20/2018,"1,682,921",03/01/2017,20180315072703797000_NEPOOL_CLP_51063023048_084612009,20180315072703797000_NEPOOL_CLP_51063023048_084612009.json,"14,726,000"
1-GXF0NO,1-GPY4BN,5,NEPOOL_CLP_51574835054_190762004,05/01/2018,03/20/2018,"1,682,922",03/01/2017,20180315072801721000_NEPOOL_CLP_51574835054_190762004,20180315072801721000_NEPOOL_CLP_51574835054_190762004.json,"16,488,000"
1-HW6KB5,1-HIZ844,4,NEPOOL_PSNH_56934576042_978401009,12/01/2018,10/25/2018,"1,867,651",06/06/2017,20180730104804706000_NEPOOL_PSNH_56934576042_978401009,20180730104804706000_NEPOOL_PSNH_56934576042_978401009.json,"42,735"
1-FSSELW,1-FENP54,2,PJM_PSEG_PE000008744965844870,01/01/2019,10/24/2017,"1,888,036",06/15/2017,20170626085942804000_PJM_PSEG_PE000008744965844870,20170626085942804000_PJM_PSEG_PE000008744965844870.json,
1-FSSELW,1-FENP54,2,PJM_PSEG_PE000009111461144870,01/01/2019,10/24/2017,"1,888,040",06/15/2017,20170626085942975000_PJM_PSEG_PE000009111461144870,20170626085942975000_PJM_PSEG_PE000009111461144870.json,
1-FSSELW,1-FENP54,2,PJM_PSEG_PE000008255822271167,01/01/2019,10/24/2017,"1,888,059",06/15/2017,20170626085941422000_PJM_PSEG_PE000008255822271167,20170626085941422000_PJM_PSEG_PE000008255822271167.json,
1-FSSELW,1-FENP54,2,PJM_PSEG_PE000009843821173392,01/01/2019,10/24/2017,"1,888,063",06/15/2017,20170626085941901000_PJM_PSEG_PE000009843821173392,20170626085941901000_PJM_PSEG_PE000009843821173392.json,
1-GLXYN9,1-FKDPUP,2,PJM_COMED_0507059225,01/01/2019,01/17/2018,"1,981,550",08/22/2017,20180117110306800000_PJM_COMED_0507059225,20180117110306800000_PJM_COMED_0507059225.json,"2,087"
1-GLXYN9,1-FKDPUP,2,PJM_COMED_8106434064,01/01/2019,01/17/2018,"1,981,554",08/22/2017,20180117110305022000_PJM_COMED_8106434064,20180117110305022000_PJM_COMED_8106434064.json,"116,730"
1-HFYUQE,1-FQ679S,3,NYISO_CONED_424217087600027,08/01/2018,06/12/2018,"2,054,229",09/25/2017,20180612091702242000_NYISO_CONED_424217087600027,20180612091702242000_NYISO_CONED_424217087600027.json,"435,430"
1-HFYUQE,1-FQ679S,3,NYISO_CONED_447021373202008,08/01/2018,06/12/2018,"2,054,231",09/25/2017,20180612091701821000_NYISO_CONED_447021373202008,20180612091701821000_NYISO_CONED_447021373202008.json,"162,310"
1-HFYUQE,1-FQ679S,3,NYISO_CONED_421105147510000,08/01/2018,06/12/2018,"2,054,236",09/25/2017,20180612091702647000_NYISO_CONED_421105147510000,20180612091702647000_NYISO_CONED_421105147510000.json,"868,770"
1-HFYUQE,1-FQ679S,3,NYISO_CONED_421105149980060,08/01/2018,06/12/2018,"2,054,237",09/25/2017,20180612091702429000_NYISO_CONED_421105149980060,20180612091702429000_NYISO_CONED_421105149980060.json,"378,500"
1-HFYUQE,1-FQ679S,3,NYISO_CONED_447021373303004,08/01/2018,06/12/2018,"2,054,239",09/25/2017,20180612091701961000_NYISO_CONED_447021373303004,20180612091701961000_NYISO_CONED_447021373303004.json,"826,030"
1-HFYUQE,1-FQ679S,3,NYISO_CONED_423109163500018,08/01/2018,06/12/2018,"2,054,241",09/25/2017,20180612091702601000_NYISO_CONED_423109163500018,20180612091702601000_NYISO_CONED_423109163500018.json,"628,290"
1-HFYUQE,1-FQ679S,3,NYISO_CONED_423127099800005,08/01/2018,06/12/2018,"2,054,242",09/25/2017,20180612091701696000_NYISO_CONED_423127099800005,20180612091701696000_NYISO_CONED_423127099800005.json,"342,750"
1-GW7U9R,1-GT9JF5,1,ERCOT_CPT_1008901023813027760102,10/01/2018,03/14/2018,"2,083,525",10/16/2017,20180305150000407000_ERCOT_CPT_1008901023813027760102,20180305150000407000_ERCOT_CPT_1008901023813027760102.json,"145,340"
1-GKJKHY,1-DFRFCD,2,ERCOT_CPT_1008901011900842570114,01/01/2019,11/15/2017,"2,124,340",11/09/2017,20171115155316469000_ERCOT_CPT_1008901011900842570114,20171115155316469000_ERCOT_CPT_1008901011900842570114.json,"857,500"
1-HQ7J1I,1-H5CR2K,2,NYISO_CONED_314907115000017,11/01/2018,09/12/2018,"2,147,071",12/05/2017,20171012162702320000_NYISO_CONED_314907115000017,20171012162702320000_NYISO_CONED_314907115000017.json,"305,460"
1-G07HQ3,1-FZHOP9,2,ERCOT_ONCOR_10443720007237698,04/01/2019,12/15/2017,"2,155,134",12/13/2017,20171213064601316000_ERCOT_ONCOR_10443720007237698,20171213064601316000_ERCOT_ONCOR_10443720007237698.json,"114,910,000"
1-G07HPL,1-FO0N9R,3,ERCOT_ONCOR_10443720007237698,04/01/2018,12/15/2017,"2,155,134",12/13/2017,20171213064601316000_ERCOT_ONCOR_10443720007237698,20171213064601316000_ERCOT_ONCOR_10443720007237698.json,"114,910,000"
1-HCG9QG,1-DWN432,2,PJM_BGE_4863200298,01/01/2019,01/10/2018,"2,226,969",01/04/2018,20180105151101132000_PJM_BGE_4863200298,20180105151101132000_PJM_BGE_4863200298.json,"6,886,900"
